Geneid,L3,L3,L3,APF0h,APF0h,APF0h
CG13293,0,0,0,0,0,0
CG10469,0,0,0,4,0,0
CG10467,227,1,1,75,105,25
loj,1416,889,727,1799,2113,979
Ets65A,0,0,0,0,0,0
lncRNA:CR46001,0,0,0,0,0,0
l(3)mbn,0,0,0,0,0,0
lncRNA:CR46005,0,0,0,0,0,0
Lcp65Ag3,0,0,0,0,0,0
Cpr65Au,0,0,0,0,0,0
Lcp65Ag2,0,0,0,0,0,0
Lcp65Ag1,0,0,0,0,0,0
Lcp65Af,0,0,0,0,0,0
Lcp65Ae,0,0,0,0,0,0
Cpr65Av,0,0,0,0,0,0
Cpr65Aw,0,297,0,1,0,0
Lcp65Ad,0,0,0,0,0,0
Lcp65Ac,0,0,0,0,0,0
Lcp65Ab2,0,0,0,0,0,0
Cpr65Ax1,0,0,0,0,0,0
Lcp65APsi,0,0,0,0,0,0
Lcp65Ab1,0,0,0,0,0,0
Cpr65Ax2,0,0,0,0,0,0
Lcp65Aa,0,0,0,0,0,0
Acp65Aa,0,0,0,0,0,0
lncRNA:CR45421,0,0,0,0,0,0
CG13297,0,0,0,0,0,0
Cpr65Ay,0,0,0,0,0,0
Cpr65Az,0,0,0,0,0,0
lncRNA:CR45744,0,0,0,0,0,0
Prdm13,0,0,0,0,0,0
fmt,2,2,284,46,777,345
CG7376,0,0,0,12,8,0
CG10274,260,1,0,24,25,17
D19B,525,1,0,6,45,10
CG43293,181,87,491,25,21,16
D19A,235,22,2,147,109,27
CG7386,0,1,0,0,79,32
Sf3b6,963,796,2832,1297,1794,901
Tnpo,635,0,133,539,471,405
CG8219,0,0,0,0,0,0
LanA,0,91,1,9,222,22
CG33946,0,0,0,0,0,0
CG13299,0,0,0,0,0,0
BG642312,0,0,0,0,0,0
CG42714,0,0,0,0,0,0
CG10226,0,0,0,0,0,0
Mdr65,0,0,0,0,0,0
Best2,0,0,0,3,310,289
CG10163,0,0,0,0,0,0
Ldh,1,6,1,553,839,234
lncRNA:CR44522,0,0,0,0,0,3
CG43168,0,0,0,0,0,6
lncRNA:CR45420,30,0,0,0,0,0
lncRNA:CR45114,0,0,0,14,0,0
lncRNA:CR45113,0,0,0,3,0,0
Or65a,0,0,0,0,0,0
Or65b,0,0,0,0,0,0
Or65c,0,0,0,0,0,0
CG13300,52,201,0,14,66,108
Sfp65A,0,0,0,0,0,0
lncRNA:CR45419,0,0,0,0,0,0
lncRNA:CR45980,0,0,0,0,0,0
CG42747,7,112,0,1,36,122
CG10147,0,0,1,66,125,6
CG8270,169,502,0,27,235,71
Vps8,0,1632,0,16,529,129
sfl,0,0,0,36,100,18
lncRNA:CR45979,0,0,0,0,12,0
CG32396,0,0,0,0,2,0
MCU,0,397,0,67,145,202
jv,295,0,0,0,15,0
ndl,0,0,0,0,0,0
Rexo5,34,0,0,45,317,192
zpg,0,0,0,0,0,0
lncRNA:CR45418,0,0,0,0,0,0
axed,0,0,0,0,0,0
GluRIA,0,337,0,0,0,0
lncRNA:CR45238,0,0,0,0,0,0
lncRNA:CR45239,0,0,0,0,0,0
eIF4E4,0,0,0,0,0,0
lncRNA:CR45173,0,0,0,0,0,0
CG32395,0,0,0,0,0,0
SP1173,0,642,1,0,3,0
CG8519,0,0,0,0,0,0
ple,0,0,0,144,1685,19
lncRNA:CR44523,0,0,0,0,0,0
lncRNA:CR45417,0,0,0,0,0,0
dikar,314,0,0,146,59,97
velo,1415,1136,1,820,482,174
CG8549,290,0,1,29,93,70
CG10103,797,263,1551,598,471,279
CG32392,0,0,0,0,0,0
lncRNA:CR45759,0,0,0,6,4,6
vvl,493,166,247,203,355,199
lncRNA:CR45115,0,0,0,0,0,0
lncRNA:CR45416,0,0,0,0,0,0
Prat2,0,103,0,0,5,0
CG45413,0,0,0,0,0,0
CG14820,0,0,0,0,0,19
lncRNA:CR45415,0,0,0,0,0,0
lncRNA:CR45414,0,0,0,0,0,0
lncRNA:CR45412,0,0,0,0,0,0
tow,0,0,0,0,0,0
CG10077,1035,259,3411,477,1752,782
CG9948,189,295,1292,113,117,94
CG10075,359,168,447,48,179,97
Surf1,384,1601,775,206,269,108
sgl,124,3,468,414,567,196
CG10064,0,0,0,0,0,0
Mis12,645,2022,741,294,360,246
CG9953,1345,2747,955,1177,978,434
CG10063,0,0,0,0,0,0
Galphai,1965,1890,54,2759,2247,1565
lncRNA:CR32385,311,143,0,17,69,103
lncRNA:CR46000,0,0,0,0,0,0
CG32388,0,0,0,0,0,0
CG43439,0,0,0,0,0,0
bin,0,0,0,0,0,0
Mp,0,0,0,3,10,0
CG17744,0,0,0,0,0,0
asRNA:CR45832,0,0,0,0,0,0
CG8641,0,0,0,0,0,0
CG14823,0,0,0,0,0,0
CG32391,0,0,0,0,0,0
CG34030,0,0,0,0,0,0
Cpr65Ea,0,0,0,0,0,0
Cpr65Eb,0,0,0,0,0,0
Cpr65Ec,0,0,0,0,0,0
form3,42,597,1,92,166,119
msl-3,0,1,0,7,50,11
BBS1,0,0,0,0,0,0
Acbp4,0,0,0,0,0,0
Acbp6,0,0,0,0,0,0
Acbp3,0,0,0,0,0,0
Acbp2,0,59,182,0,0,0
melt,33,123,286,241,404,201
corn,0,0,0,1,210,90
CG8620,0,0,0,22,79,1
Dscam2,0,0,0,0,0,0
lncRNA:CR45410,0,0,0,0,0,0
CG14826,0,0,0,0,0,0
CG14829,0,0,0,0,0,0
BHD,1,1,0,102,68,29
RpL18,2235,2502,2166,1197,701,494
Neos,925,253,1,91,252,191
mRpL50,215,242,0,222,221,90
mei-P22,0,0,0,0,28,0
Cdc27,10,0,0,26,162,53
MED4,442,1205,2063,207,222,228
asRNA:CR43470,0,0,0,0,0,0
CG14830,21,68,1,86,75,60
unc-13-4A,0,0,0,0,0,0
CG8607,202,363,0,1,10,33
RhoGEF4,0,715,0,156,28,14
Rint1,101,0,0,340,328,102
mrva,28,103,0,404,1004,454
CG42307,0,0,0,0,0,0
mus312,0,0,0,0,0,0
CG43780,0,0,0,0,0,0
CG43781,0,0,0,0,0,0
eco,0,0,0,100,108,21
lark,584,2682,794,1639,1226,979
Cln7,261,1,1,135,498,250
CG14834,0,0,0,5,1,0
Srp19,116,32,1,526,409,405
qm,0,1,0,2,117,55
lncRNA:CR45833,0,0,0,0,0,0
CTCF,0,155,0,201,83,44
asRNA:CR45822,0,0,0,0,0,0
pst,94,588,3,1229,1206,808
Sec63,130,37,349,309,729,391
asRNA:CR45835,0,0,0,0,0,0
Sh3beta,2180,1381,4846,5446,6236,3108
akirin,1799,1736,25,1697,1802,1023
SMSr,7,683,0,68,681,108
smid,881,679,0,362,365,196
CG8564,0,0,0,0,0,0
CG8563,0,0,0,0,0,0
CG32379,0,0,0,0,0,0
CG8562,0,0,0,0,0,0
CG18417,0,0,0,0,0,0
CG8560,349,26,0,53,24,10
lncRNA:CR33948,0,0,0,8,16,2
lncRNA:CR44525,0,0,0,0,0,0
CG42458,0,0,0,0,0,0
Rac2,361,1,5,342,1122,496
CG14835,0,0,0,32,0,0
sphinx1,0,1,0,0,0,0
sphinx2,0,0,0,0,0,0
CG33278,0,0,0,0,0,0
ppk26,0,0,0,0,0,0
CG42661,0,0,0,0,0,0
Tsp66A,0,0,0,0,0,0
CG42660,0,0,0,0,0,0
CG8543,0,0,0,0,0,0
CG8541,0,0,0,0,0,0
CG43292,0,0,0,0,0,0
mthl6,8,0,0,0,1,0
Cyp316a1,0,0,0,0,0,0
Cyp4d8,0,0,0,0,1,0
CG8539,0,0,0,0,63,0
CG7548,0,0,0,0,0,0
asRNA:CR45896,0,0,0,0,0,0
CG7546,18,0,1,98,66,71
ltl,0,0,0,215,8,0
lqf,609,52,50,984,1037,619
CG16998,0,0,0,0,0,0
CG32374,0,0,0,0,0,0
CG32376,0,0,0,0,0,0
CG14837,0,0,0,0,0,0
frac,0,0,0,0,0,0
CG14838,0,0,0,0,0,0
CG7716,0,0,0,0,0,0
Pura,1,4,465,2,10,119
lncRNA:CR45866,0,0,0,0,0,0
snoRNA:Me18S-A1806,0,0,0,0,0,3
Urm1,42,94,0,17,34,34
CG7506,283,392,1208,200,311,158
CG32373,0,0,0,0,0,0
PGRP-SD,0,0,0,20,6,0
CG7492,134,0,0,287,541,271
Ank2,0,0,0,0,0,0
CG44195,0,0,0,0,0,0
Mcad,0,0,0,0,0,2
CG7457,0,0,0,0,32,56
CG8492,0,0,0,0,0,1
Snmp2,2,0,0,0,0,0
CG13685,0,0,0,0,0,0
CG7409,0,0,0,0,0,0
Hn,0,0,0,0,10,0
Clk,0,0,0,0,0,0
CG32371,0,0,0,0,0,0
CG32369,0,0,0,27,102,59
Pdp1,610,346,45,4,17,40
CG32365,0,0,0,10,38,1
eIF4E5,0,0,0,0,0,0
pbl,0,773,4,0,2,1
CG8281,124,404,0,94,29,78
CG8111,0,807,1301,165,274,142
CG32368,0,0,0,0,0,0
syd,337,5,0,4,244,28
Srp9,402,499,2012,767,875,506
CG43880,0,0,0,0,0,0
exex,0,0,0,0,0,0
RNaseX25,0,0,0,436,327,106
CG8042,0,1,0,122,498,127
HP4,760,1152,937,266,372,210
CG8209,447,336,396,511,477,277
CG8038,943,958,1824,175,176,64
nmo,144,1,1,66,441,227
tRNA:Ala-AGC-2-1,0,0,0,0,0,0
bip1,146,8,0,60,114,54
asRNA:CR45867,0,0,0,0,0,0
asRNA:CR45868,0,45,0,0,0,0
tRNA:Leu-CAG-1-2,0,0,0,0,0,0
tRNA:Leu-CAG-1-3,0,0,0,0,0,0
tRNA:Leu-CAG-1-4,0,0,0,0,0,0
Ect4,342,9,553,113,336,150
tRNA:Leu-CAG-1-5,0,0,0,0,0,0
tRNA:Leu-CAG-1-6,0,0,0,0,0,0
tRNA:Leu-CAG-1-7,0,0,0,0,0,0
CG42590,0,0,0,0,0,0
CG42591,0,0,0,0,0,0
lncRNA:CR43974,0,0,0,0,0,1
CG7565,0,0,0,13,10,0
fan,0,0,0,0,0,0
Nulp1,221,353,2,1796,1168,667
mir-2501,0,0,0,0,0,0
Arp3,5457,5376,2572,8991,10751,7253
msk,1136,1684,1318,1259,3195,1598
ldbr,0,435,0,6,26,71
CG7550,115,372,1,84,95,82
mRpL36,994,1222,1248,130,232,139
Uba2,1,0,299,422,396,294
Cds,63,0,170,487,454,294
CG7504,0,1,0,0,130,0
mus301,0,0,379,0,51,0
CG13676,661,1166,0,1893,3855,1243
CG42445,1,863,158,431,462,141
CG43886,0,0,0,0,1,8
CG13675,0,0,0,0,0,0
RecQ4,291,1133,1959,118,30,0
Nmt,872,1,1,875,1009,535
mthl7,0,0,0,0,0,0
Uxs,0,146,0,1,18,151
ERR,0,1,0,15,41,23
asRNA:CR45869,0,0,0,0,0,0
asRNA:CR45870,0,0,0,0,0,0
Atg18a,801,1005,859,1165,1146,580
MED24,0,0,1,13,273,72
CG7387,0,0,0,0,0,0
UbcE2M,615,1641,1440,1291,1409,796
CG8005,120,75,0,233,141,88
CG7366,0,0,0,0,0,0
CG13679,0,0,0,0,0,0
tut,1,0,0,15,9,15
CG8006,0,0,0,0,0,0
CG8012,0,0,0,0,0,0
CG13674,3,7,7,0,0,0
CG13678,1335,1857,2163,31,22,8
eIF4E3,0,0,0,0,0,0
lncRNA:CR43953,0,0,0,0,0,0
CG7213,0,0,0,0,15,0
Dscam4,22,0,1,1,80,10
cert,813,0,73,144,296,70
CG7201,0,0,0,0,0,0
Rab19,31,1,0,44,320,64
Arl5,432,637,646,432,356,174
CG13671,907,0,2,341,495,311
CG7194,0,0,0,0,14,0
Sbp2,320,0,1055,107,147,69
Gr66a,0,0,0,0,0,0
BI-1,3800,4615,3001,3644,5055,2425
lncRNA:CR45409,0,0,0,0,0,0
Cpsf6,190,32,163,559,629,172
CG43059,0,0,0,0,0,0
CG13670,0,0,0,0,0,0
CG34461,0,0,0,0,0,0
CG34462,0,0,0,0,0,0
Cpr66Cb,571,0,0,0,0,0
Pex2,27,139,597,115,122,75
DNApol-alpha50,28,1,0,0,64,32
CG7083,432,0,0,231,45,7
CG7182,1,1315,1,52,219,93
GAPcenA,0,0,0,110,265,34
Culd,0,0,0,188,32,28
mir-4913,0,0,0,0,0,0
Idh,1743,1338,5,2812,3557,2242
ImpE1,0,0,0,37,43,0
Jon66Ci,0,0,0,1,0,0
Jon66Cii,0,0,0,0,0,0
CG7120,0,0,0,0,0,0
CG33057,0,0,0,0,0,0
mkg-p,0,0,0,0,0,0
CG13667,0,1,0,112,130,94
Oseg1,358,2,0,5,40,0
Exo70,0,0,0,193,128,85
mtrm,0,0,0,0,0,0
CG32354,0,0,0,0,1,0
Cbl,162,328,0,132,535,400
Unr,960,651,875,929,1091,816
CG6983,98,0,2,183,109,100
Gug,141,0,187,117,167,56
CG43163,0,27,0,28,163,48
ZC3H3,844,432,564,111,388,75
Pus7,1028,0,0,65,32,86
CG6765,44,0,0,0,8,0
CG6683,0,0,519,46,3,0
GstO3,1181,371,263,852,1899,920
se,0,0,0,0,0,0
GstO2,499,0,0,368,366,85
GstO1,0,0,517,0,0,8
foi,290,33,0,0,110,71
ergic53,697,80,3655,4477,3782,1797
rhea,0,0,271,181,370,284
lncRNA:CR43910,0,0,0,0,0,0
mir-190,0,0,0,0,0,0
CG6638,190,2025,1506,386,614,124
CG43078,0,0,0,0,1,0
Nelf-E,714,1,1084,496,320,98
RpL14,1766,3264,1547,1401,1988,1246
snoRNA:U49:66Da,0,0,0,0,0,0
snoRNA:U49:66Db,0,0,0,0,0,0
CG5989,1013,178,0,298,261,83
CG6282,0,0,0,0,0,0
S-Lap1,0,0,0,0,0,0
S-Lap2,0,0,0,0,0,0
GAPsec,0,195,0,88,149,52
Zasp66,858,1580,2660,2057,1367,32
Cdc6,16,0,0,146,105,109
Cpr66D,0,0,0,59,46,18
CG13305,0,0,0,0,0,0
Pex7,0,0,0,0,0,0
Arr2,0,0,0,0,0,0
h,202,135,0,16,56,20
lncRNA:CR44526,0,0,0,0,0,1
SrpRbeta,778,1525,1125,2699,3615,1807
CG32022,139,2,0,207,110,108
CG6511,0,0,0,1,15,0
CG43965,0,0,0,0,0,0
Cp18,0,0,0,0,22,0
Cp15,0,0,0,0,0,0
Cp19,0,0,0,0,0,0
Cp16,0,0,0,0,0,0
Prm,42,104,0,0,1,0
CG13306,0,0,0,0,0,0
lncRNA:CR44527,0,0,0,0,0,0
Fhos,0,0,0,14,89,54
CG6576,0,0,0,0,0,0
Acbp5,0,0,0,0,0,0
CG13310,0,0,0,0,0,0
CG13311,0,0,0,0,0,0
CG34426,0,0,0,0,0,0
CG32023,0,0,0,0,0,0
CG34427,0,0,0,0,0,0
CG13312,0,0,0,0,0,0
CG32024,0,0,0,0,0,0
CG13308,0,0,0,0,0,0
CR46432,0,0,0,0,0,0
CG13309,0,0,0,0,0,0
dally,24,31,6,215,845,388
CG32026,0,0,0,0,0,0
lncRNA:CR45823,0,0,0,0,0,0
CG43169,0,0,0,0,0,0
asRNA:CR45871,0,0,0,0,0,0
Mcm7,22,0,0,33,16,16
TrpA1,0,0,0,0,0,0
tRNA:Thr-AGT-3-1Psi,0,0,0,0,0,0
mfr,0,0,0,0,0,0
Tsp66E,120,0,1,97,109,4
lncRNA:CR43970,0,0,0,0,0,0
CG43783,0,0,0,13,13,9
orb2,0,124,0,5,15,4
GNBP3,140,1,29,207,161,73
mRpL12,336,749,0,188,208,131
CG13313,0,0,0,0,3,0
ValRS-m,0,1068,0,16,11,0
CG5653,0,0,0,0,0,0
CG5021,526,1,28,1117,850,406
CG5026,1,92,0,392,445,210
pix,1261,260,3,1319,1160,586
Srp68,654,188,1234,1140,1022,526
CG5644,0,0,0,0,0,0
CG13314,0,0,0,0,0,0
Galk,1,1,0,175,267,21
CG5068,26,1156,0,139,333,327
CG5280,0,0,0,0,0,0
smg,337,248,0,174,132,83
CG5087,0,31,0,33,85,3
Doc3,0,0,0,0,0,0
CG5194,0,0,0,0,0,0
Doc2,0,0,0,0,0,0
Doc1,0,0,0,0,0,0
CG5144,0,0,0,0,0,0
Argk,6621,6582,2044,27153,28201,13149
CG4911,29,0,0,303,578,94
CG4942,145,0,1,153,85,34
teq,0,0,2165,0,19,0
CG32032,0,1,0,0,0,0
CG13315,126,468,2016,5,53,0
bol,0,0,0,40,0,0
Dhpr,1047,438,1010,1055,1269,758
Use1,349,167,1118,342,185,85
nwk,0,0,0,0,0,0
mir-4940,0,0,0,0,0,0
Rdl,0,0,0,0,0,0
Slc45-1,0,0,0,0,14,0
CG4476,0,0,0,0,0,0
lncRNA:CR45408,0,0,0,0,0,0
CG4483,0,0,0,0,0,0
CG4477,0,0,0,0,0,0
GluRIB,0,0,0,0,0,0
PGRP-LA,216,2,643,185,447,81
PGRP-LC,1,1,0,6,43,105
PGRP-LF,0,0,0,0,40,0
UGP,2062,2,1134,1269,785,346
CG32040,0,0,0,0,41,0
CG32039,312,232,2,321,325,182
Pdxk,2333,2302,2468,1178,809,333
CG34456,0,0,0,0,0,0
Klp67A,0,465,0,0,0,0
mRRF1,324,313,1,151,124,93
CG4452,144,1,1,105,152,241
Fdx1,48,0,0,118,43,9
Hsp67Bc,0,0,0,35,86,55
CG4456,1,0,0,0,4,0
Hsp22,0,0,0,0,0,0
CG4461,0,0,0,0,0,0
Hsp26,280,302,2194,2585,2194,1337
Hsp67Ba,0,0,10,116,161,72
asRNA:CR43481,23,0,0,11,17,21
Hsp23,4826,5705,7996,9389,14396,6704
Hsp27,5805,3020,7814,12080,14040,9957
CR43483,0,0,0,0,0,0
CR43482,0,0,0,0,0,0
CG4080,1,0,0,145,184,55
eIF4E1,3818,3577,2069,2165,2935,1388
Cpr67B,0,0,0,0,0,0
CG4022,0,365,0,94,278,43
Cpsf5,710,247,0,392,476,322
Tat,0,0,0,38,107,146
CG3982,0,0,0,0,0,0
aay,0,316,199,888,756,93
Shc,822,56,2,383,575,266
RpS17,5839,9921,12218,2719,3016,1750
snoRNA:Psi28S-612,0,0,0,2,1,12
MTF-1,0,0,0,39,100,46
CG42526,60,0,437,0,32,0
Bet3,262,0,115,72,50,53
asRNA:CR45872,0,0,0,0,0,0
Nf-YA,0,0,0,19,63,87
CG33926,0,0,14,0,5,0
CG3529,0,0,0,187,510,219
CG3448,0,191,0,37,6,4
ghi,793,328,1417,343,471,309
phol,300,0,123,129,89,29
CG3552,302,1,0,0,51,73
asRNA:CR45873,0,0,0,0,0,0
CG3437,20,67,0,0,16,19
CG3434,174,2,0,97,87,19
CG44838,0,112,0,172,35,32
Uch-L5,2976,3840,1921,3238,2391,1405
Jarid2,1270,1228,121,830,398,532
pall,483,0,160,263,264,113
CG32036,0,0,0,0,0,0
CG32037,0,0,0,0,0,0
path,716,1443,4192,2291,4107,2540
CG3408,608,794,1739,925,908,457
RpS9,1171,2155,3249,564,711,335
asRNA:CR45874,0,0,4,0,0,0
snoRNA:Me28S-G3253,0,0,0,0,0,0
CG33703,0,0,0,0,0,0
CG33702,0,0,0,0,0,0
CR33701,0,0,0,0,0,0
CG33700,0,0,0,0,0,0
Or67a,0,0,0,0,0,0
Ir67a,0,0,0,0,0,0
CG42673,0,0,0,37,75,78
asRNA:CR46246,0,0,0,0,0,0
Tmc,0,0,0,0,0,0
CG3222,0,0,0,0,0,0
CG3088,0,0,0,0,0,0
CG3306,0,0,0,0,0,0
LanB2,129,1,1,63,299,81
CG3335,0,1087,1,7,14,1
Or67b,0,0,0,0,0,0
CG8336,320,562,1687,118,235,233
fry,153,0,2,37,130,82
CG8329,0,0,0,0,0,0
CG18179,0,0,0,0,0,0
CG18180,0,0,0,0,11,0
CNMaR,0,0,0,0,0,0
CG16717,779,1,0,699,545,404
alphaTub67C,0,0,0,0,5,5
CG6767,1907,693,1936,90,67,99
CG16719,0,0,0,0,0,0
asRNA:CR45804,0,0,0,0,0,0
asRNA:CR45121,0,0,0,0,0,0
Ubc4,1597,1277,447,716,1153,852
CG6761,0,0,0,0,0,0
CG16711,0,0,25,13,23,9
SH3PX1,433,1061,700,770,974,437
vsg,1360,14,1268,907,1477,889
snmRNA:838,0,0,0,0,0,0
CG18178,860,971,2,109,183,107
CG14174,0,0,0,49,14,11
nbs,1,57,0,172,290,105
defl,0,0,0,20,129,33
Naa60,758,0,2,97,455,219
ATPsynB,4681,3978,5741,1767,1126,909
CG6749,1,15,0,0,11,0
mir-4986,0,0,0,0,0,0
CG42268,343,0,24,39,187,11
lncRNA:CR44348,0,0,0,0,0,0
lncRNA:CR45407,0,0,0,0,0,0
CG8177,0,0,0,0,10,20
CG32052,0,0,0,0,0,0
Zasp67,0,0,0,0,0,0
Ilp1,0,0,0,0,0,0
Ilp2,0,0,0,0,0,0
Ilp3,0,0,0,0,0,0
Ilp4,0,0,0,0,0,0
CG43897,0,16,0,1,5,0
Ilp5,0,0,0,0,0,0
I-2,378,642,0,851,511,386
Cdk8,0,1,0,221,101,21
RasGAP1,0,0,0,7,313,121
CG10809,147,0,1,87,139,80
iPLA2-VIA,2,885,6,183,342,342
CG8108,571,571,1214,387,703,276
lncRNA:CR45406,0,0,0,0,0,0
CG34382,0,0,0,0,0,0
Taf2,42,0,0,114,277,66
CalpB,12,0,0,88,150,54
asRNA:CR45875,0,0,0,0,0,0
CG6709,0,0,0,0,0,0
Hez,0,0,0,0,0,0
CG6707,1714,1823,40,1343,1993,1046
CG46387,8,0,0,0,5,9
nudE,1397,1371,66,1364,744,525
bma,0,0,0,0,0,0
CG6685,1,1,1,118,173,88
Dronc,416,3,1,1718,1989,1217
CG6674,265,111,528,108,233,83
vnc,0,0,0,0,0,0
CG42455,0,0,0,0,0,0
dpr6,0,0,0,0,11,0
lncRNA:CR45876,0,0,0,0,0,0
lncRNA:CR45877,0,0,0,0,0,0
lncRNA:CR45155,0,0,0,0,0,0
lncRNA:CR45878,0,0,0,0,0,0
CG14160,0,0,0,0,0,0
CG32053,0,0,0,0,0,0
CG32054,0,0,0,0,0,0
CG42825,0,0,0,0,0,0
CG42826,0,0,0,0,0,0
CR45879,0,0,0,0,0,0
dpr10,0,0,0,0,0,0
snoRNA:MeU2-A31,0,0,0,0,0,0
CG8072,0,0,0,0,0,0
CG6628,0,0,0,0,0,0
ect,169,0,1,372,201,127
snoRNA:Me28S-C993,0,0,0,0,0,0
lncRNA:CR44538,0,0,0,0,0,0
CG8065,0,0,0,0,0,0
CG32055,0,0,0,0,0,0
scramb1,35,929,0,263,729,307
lncRNA:CR44542,0,0,0,0,0,0
lncRNA:CR45403,0,0,0,0,0,0
lncRNA:CR44541,0,0,0,0,0,0
Or67c,0,0,0,0,0,0
lncRNA:CR44539,0,0,0,0,0,0
lncRNA:CR44540,0,0,0,0,0,0
can,0,0,0,0,0,0
lncRNA:CR45242,0,0,0,0,0,0
Or67d,0,0,0,0,0,0
lncRNA:CR46003,0,0,0,0,0,2
lncRNA:CR46004,0,0,0,0,0,0
mir-276b,0,0,0,0,0,0
lncRNA:CR46006,0,0,0,69,56,25
mir-276a,0,0,0,0,0,0
lncRNA:CR45245,0,0,0,0,0,0
lncRNA:CR44543,0,0,0,0,0,0
lncRNA:CR43990,0,0,0,0,0,0
CG12362,0,0,0,0,0,0
Ir67b,0,0,0,0,0,0
Ir67c,0,0,0,0,0,0
Gem3,987,1590,1488,1,38,74
CG32061,0,0,0,0,0,0
S-Lap3,0,0,0,0,0,0
CG46430,0,0,0,0,0,0
Rbfox1,222,92,219,147,125,114
S-Lap4,0,0,0,0,0,0
snoRNA:Me28S-A2629,0,0,0,0,0,0
CG6527,0,0,0,0,0,0
lncRNA:CR46212,0,0,0,0,0,0
CG42521,0,0,0,0,0,0
CG43127,0,0,0,0,0,0
CG34238,0,0,0,0,0,0
CG14151,0,0,0,0,0,0
CG42536,0,0,0,0,0,0
CG42535,0,0,0,0,0,0
hay,2,0,0,44,90,13
CG34001,35,183,1,59,20,29
E(z),9,123,60,170,246,256
CG8009,714,0,87,228,285,100
CG18628,0,0,0,0,1,1
CG32066,237,1925,77,392,810,415
CG14154,0,0,0,0,4,0
CG14153,0,0,0,0,21,0
CG8003,673,685,198,342,402,313
Adi1,453,605,0,140,230,80
simj,0,0,0,38,33,43
CG11811,327,2684,1,477,503,355
CG33493,66,0,0,1,30,0
ND-13B,521,428,832,342,500,290
NijA,736,576,314,1952,3030,1203
CG43245,0,0,0,0,0,0
lncRNA:CR44544,0,0,0,0,7,0
lncRNA:CR44545,0,0,0,0,0,0
lncRNA:CR44546,0,0,0,0,0,0
lncRNA:CR46230,0,0,0,0,0,0
lncRNA:CR46231,0,0,0,0,0,0
CG12523,0,0,0,0,0,0
lncRNA:CR44347,12,0,0,6,28,11
CG42831,0,0,0,45,0,0
lncRNA:CR45247,0,0,0,0,0,0
lncRNA:CR45246,0,0,0,0,0,0
tna,918,53,1,88,87,169
lncRNA:CR45169,0,0,0,0,11,0
CG6418,0,0,0,10,121,63
Blos4,167,0,697,136,235,97
CG6409,0,0,0,0,0,0
galla-2,0,829,766,121,205,72
OXA1L,347,1,0,227,191,80
Cpr67Fa1,0,0,0,0,0,0
Cpr67Fa2,0,0,0,0,0,0
asRNA:CR45171,0,0,0,0,0,0
Cpr67Fb,0,0,0,0,0,0
Aps,7079,6459,2144,5842,4899,2653
lncRNA:CR45248,0,0,0,0,0,0
lncRNA:CR45249,0,0,0,0,0,0
CG14147,0,0,0,0,0,1
lncRNA:CR45745,0,0,0,0,0,0
klu,0,0,0,0,0,0
snoRNA:Me18S-G962,0,0,0,0,0,0
Fad2,0,0,0,0,0,0
CG32079,0,0,0,0,0,0
CG32081,0,0,0,0,0,0
lncRNA:CR44547,0,0,0,0,0,0
CG43693,0,0,0,0,1,9
lncRNA:CR45119,0,0,0,5,0,0
CG7888,0,0,0,0,107,48
CG6321,0,707,0,0,2,19
Blos2,2,2,0,142,91,43
CG32069,573,1700,527,369,953,383
CG32075,278,27,2,280,428,137
CG45101,0,0,0,0,0,0
SuUR,0,0,0,0,0,0
CG6310,2637,2434,1632,392,584,259
Mocs1,1,0,0,84,51,32
Pfdn2,5049,2948,5869,2607,3343,1626
CG7839,134,753,0,16,131,36
JIL-1,567,647,2,527,544,340
Iyd,0,0,0,0,0,0
CG33947,0,42,0,266,142,50
Irbp18,441,286,605,257,541,85
APP-BP1,13,1,2,268,376,126
Elo68beta,0,0,0,0,0,0
Elo68alpha,0,0,0,0,0,0
CG32071,0,0,0,0,0,0
CG32073,0,0,0,0,0,0
CG12522,0,0,0,0,0,0
CG34012,0,0,1,0,0,0
CG7638,448,1083,0,555,748,351
Sod1,8441,8418,12647,5244,5518,3006
FoxK,177,6,0,18,68,18
mRpL2,1567,877,1397,168,495,271
Ufd1-like,881,584,1262,1871,1607,912
NaPi-III,0,0,0,0,0,0
nol,0,0,0,0,0,0
CG32074,0,0,16,0,0,0
CG14143,0,0,0,0,0,0
IRSp53,132,5,63,0,5,0
CG6216,173,0,0,0,0,0
lncRNA:CR43989,0,0,0,52,7,15
Alg10,1105,1562,1768,656,765,613
wls,0,0,0,62,240,100
CG7616,0,0,0,0,96,80
CG14142,0,0,0,0,7,0
GlcAT-P,135,0,0,0,74,7
Plod,322,0,0,86,89,0
CG7607,0,0,0,0,0,0
CG14141,0,0,0,0,0,0
Ube3a,340,1,0,17,239,6
CG7600,136,0,3,37,181,8
CG42671,0,425,0,26,73,31
asRNA:CR46050,0,53,0,9,0,0
lncRNA:CR45405,0,0,0,0,0,0
Ir68a,0,0,0,0,0,0
lncRNA:CR44718,0,0,0,0,0,0
lncRNA:CR44719,0,0,0,0,0,0
lncRNA:CR44714,0,0,0,0,0,0
lncRNA:CR44713,0,0,0,0,0,0
lncRNA:CR44715,0,0,0,0,0,0
lncRNA:CR44717,0,0,0,0,0,10
lncRNA:CR44716,0,0,0,0,0,0
scyl,1073,1399,2962,2838,3971,1660
